Channel	Count
352	149865
353	150186
354	150052
355	149708
356	149712
357	149633
358	149427
359	149205
360	149807
361	148907
362	149950
363	149315
364	149082
365	150018
366	150145
367	149853
368	149746
369	150265
370	149400
371	149676
372	149386
373	149293
374	149744
375	149122
376	149045
377	149943
378	149850
379	149466
380	149763
381	149910
382	149432
383	149838
384	149130
385	149727
386	149650
387	149923
388	149434
389	149802
390	149410
391	149380
392	150146
393	149976
394	148907
395	149030
396	149354
397	148660
398	149371
399	150196
400	149177
401	149924
402	149281
403	148697
404	149216
405	149672
406	148886
407	149041
408	149431
409	147993
410	148905
411	148457
412	147834
413	147085
414	147720
415	147487
416	145936
417	145529
418	145379
419	145376
420	145622
421	146731
422	145740
423	147049
424	147818
425	148006
426	148188
427	148888
428	148165
429	149327
430	149833
431	149342
432	149238
433	148779
434	149812
435	149782
436	149554
437	149499
438	150049
439	149841
440	149095
441	149152
442	149046
443	150189
444	149110
445	150475
446	149449
447	149173
448	149061
449	149180
450	149886
451	149677
452	150259
453	150171
454	149969
455	150342
456	150697
457	150885
458	150023
459	149861
460	149598
461	150340
462	149815
463	149853
464	149910
465	149713
466	149367
467	149554
468	149519
469	150187
470	149855
471	149219
472	149829
473	150100
474	149844
475	150029
476	150193
477	149407
478	149837
479	149895
480	150302
481	150267
482	149878
483	149294
484	149678
485	149710
486	150061
487	149949
488	149607
489	149652
490	149436
491	149622
492	149972
493	149171
494	150696
495	150233
496	150003
497	149443
498	149401
499	149814
500	149364
501	150168
502	150154
503	149613
504	149429
505	149957
506	149381
507	149257
508	150537
509	149311
510	150057
511	150122
512	150080
513	149320
514	149989
515	148706
516	149828
517	149386
518	149667
519	149830
520	149438
521	150263
522	149411
523	149338
524	149211
525	149184
526	149613
527	149315
528	149223
529	148730
530	148630
531	148301
532	148236
533	147487
534	147247
535	146386
536	145962
537	145196
538	145805
539	145159
540	145957
541	146504
542	146580
543	147551
544	148302
545	147572
546	148032
547	149682
548	148393
549	149411
550	148668
551	149051
552	148953
553	149514
554	149998
555	148739
556	149516
557	148930
558	149499
559	149424
560	149520
561	150302
562	149141
563	149887
564	150032
565	149721
566	149376
567	149700
568	149824
569	149357
570	150004
571	149685
572	149672
573	149421
574	150127
575	149769
576	149823
577	149579
578	150013
579	149764
580	149666
581	150184
582	149811
583	150116
584	149112
585	149874
586	150150
587	149548
588	149739
589	149829
590	149437
591	149721
592	149397
593	150133
594	150402
595	149454
596	149895
597	150081
598	150424
599	149954
600	149932
601	150429
602	149281
603	149905
604	149630
605	149775
606	150593
607	149289
608	149398
609	149370
610	149955
611	149465
612	149675
613	149701
614	150198
615	149772
616	149418
617	150052
618	150118
619	149538
620	149713
621	149366
622	149817
623	149327
624	150214
625	149602
626	149418
627	149687
628	149955
629	149620
630	149404
631	149591
632	149559
633	149204
634	150344
635	150052
636	148995
637	148916
638	149697
639	149618
640	149118
641	149706
642	149729
643	149105
644	149917
645	148915
646	149821
647	150501
648	149233
649	149108
650	149192
651	149670
652	149550
653	149568
654	149466
655	149753
656	148518
657	149625
658	149942
659	149611
660	150004
661	149542
662	149102
663	149580
664	149147
665	149113
666	149434
667	149003
668	148691
669	149351
670	149145
671	148600
672	149382
673	149271
674	149874
675	149082
676	148539
677	148981
678	149326
679	148842
680	148911
681	148563
682	148503
683	148027
684	148258
685	148959
686	147764
687	148013
688	148101
689	147172
690	146648
691	146632
692	146107
693	144853
694	144276
695	143562
696	141573
697	142664
698	141237
699	141373
700	141668
701	142883
702	143377
703	143718
704	145439
705	145690
706	146433
707	146992
708	146849
709	147110
710	147094
711	148140
712	147691
713	148354
714	147588
715	148735
716	148233
717	149436
718	148327
719	148864
720	149380
721	148422
722	148682
723	148747
724	148860
725	148300
726	148373
727	148919
728	148748
729	149113
730	149701
731	149147
732	149474
733	148540
734	148953
735	149592
736	148954
737	149065
738	148941
739	149448
740	148738
741	148403
742	148757
743	148894
744	148904
745	148943
746	148971
747	148878
748	148469
749	149043
750	148186
751	148835
752	148884
753	148263
754	149141
755	148792
756	149299
757	148794
758	148784
759	148077
760	148946
761	147900
762	148788
763	149191
764	148696
765	149112
766	148635
767	149328
768	149594
769	149255
770	148684
771	149076
772	148876
773	148286
774	148318
775	148588
776	148323
777	148642
778	148544
779	148861
780	148243
781	149005
782	148242
783	149106
784	148607
785	148667
786	148357
787	148888
788	148413
789	148034
790	148567
791	147786
792	147817
793	148155
794	148183
795	148120
796	148873
797	148512
798	148180
799	148607
800	148284
801	148271
802	147870
803	148061
804	148637
805	148796
806	148111
807	148029
808	147787
809	148205
810	148099
811	148831
812	148682
813	148803
814	148529
815	148417
816	147992
817	147920
818	148225
819	148193
820	148005
821	148615
822	148033
823	147803
824	148035
825	148147
826	148434
827	148360
828	148326
829	148514
830	148314
831	147821
832	147506
833	147966
834	147858
835	147334
836	148231
837	147461
838	147602
839	147218
840	147786
841	147693
842	147488
843	148576
844	147718
845	147138
846	146956
847	147217
848	147130
849	147580
850	147165
851	146777
852	145997
853	146967
854	146009
855	145735
856	145808
857	145790
858	145137
859	144146
860	144017
861	143603
862	142956
863	142086
864	140620
865	139515
866	138475
867	137973
868	137547
869	136868
870	137341
871	138269
872	139392
873	140606
874	141684
875	142587
876	143291
877	143771
878	144573
879	144943
880	144959
881	145890
882	145618
883	146177
884	146513
885	146323
886	146087
887	146209
888	146952
889	147175
890	146617
891	146610
892	147961
893	146619
894	147068
895	147047
896	147082
897	147556
898	147909
899	146676
900	146969
901	147710
902	146996
903	147079
904	146754
905	147285
906	146534
907	147634
908	147286
909	146946
910	147023
911	147391
912	147769
913	146542
914	146577
915	146959
916	147381
917	146725
918	146281
919	146514
920	147077
921	147436
922	147199
923	147129
924	146741
925	147322
926	147162
927	147336
928	147459
929	146890
930	147704
931	147265
932	146714
933	146604
934	147189
935	146460
936	146352
937	146520
938	147067
939	147030
940	147466
941	146875
942	146566
943	145927
944	146830
945	147179
946	146701
947	146717
948	146373
949	146619
950	146507
951	146476
952	146155
953	146641
954	146750
955	147085
956	146913
957	146433
958	146867
959	146387
960	147014
961	146216
962	146646
963	146842
964	145951
965	146110
966	146239
967	146674
968	146581
969	146841
970	146877
971	146143
972	146616
973	146089
974	146283
975	147106
976	146456
977	145797
978	146354
979	146779
980	146505
981	146057
982	146342
983	146603
984	145810
985	146226
986	146427
987	146235
988	146183
989	146284
990	146930
991	146464
992	146109
993	146189
994	145471
995	145905
996	145769
997	145892
998	146105
999	146455
1000	145817
1001	145986
1002	146300
1003	146275
1004	146141
1005	146162
1006	146331
1007	145811
1008	145673
1009	146257
1010	145825
1011	145246
1012	145710
1013	146269
1014	145608
1015	145672
1016	145465
1017	145793
1018	145802
1019	145344
1020	145419
1021	146119
1022	145148
1023	145278
